palabra,peso
arma,3
arma blanca,3
cuchillo,3
pistola,3
revolver,3
disparo,3
balacera,3
asalto,3
atraco,3
secuestro,3
amenaza de muerte,3
violencia,3
agresion fisica,3
golpiza,3
sangre,3
sangrando,3
hemorragia,3
herido,3
varios heridos,3
fractura,3
quemadura,3
quemaduras,3
fuego,3
llamas,3
humo denso,3
incendio vehicular,3
explosion menor,3
fuga de gas,3
olor a gas,3
tanque de gas,3
colision,3
choque fuerte,3
volcamiento,3
atropellado,3
atropello,3
motociclista herido,3
persona inconsciente,3
dificultad para respirar,3
dolor en el pecho,3
convulsion,3
embarazada en riesgo,3
inundacion,3
crecida,3
deslizamiento,3
derrumbe parcial,3
poste electrico caido,3
cables energizados,3
personas atrapadas,3
riesgo alto,3
peligro inminente,3
