palabra,peso
consulta,1
ruido,1
molestia,1
discusion,1
perdido,1
mascota perdida,1
objeto perdido,1
vehiculo mal estacionado,1
alarma falsa,1
falsa alarma,1
sin lesionados,1
sin heridos,1
sin peligro,1
olor extrano leve,1
revision,1
apoyo,1
orientacion,1
persona sospechosa,1
reporte preventivo,1
incidente menor,1
golpe leve,1
raspon,1
caida leve,1
mareo leve,1
dolor leve,1
fuga pequena,1
humedad,1
charco pequeno,1
cable suelto,1
rama caida,1
basura,1
obstruccion menor,1
trafico lento,1
control,1
vecinos discutiendo,1
perro ladrando,1
llamada de prueba,1
informacion,1
acompanamiento,1
sin emergencia,1
situacion controlada,1
reclamo,1
molestias,1
malestar leve,1
pequeno choque,1
danos materiales leves,1
no hay victimas,1
apoyo ciudadano,1
verificacion,1
patrullaje,1
