palabra,peso
arma,4
arma de fuego,4
pistola,4
revolver,4
muerto,4
fallecido,4
sin vida,4
cadaver,4
herido grave,4
heridos graves,4
multiples heridos,4
victimas multiples,4
persona atrapada,4
atrapado,4
atrapados,4
soterrado,4
sepultado,4
derrumbe,4
edificio colapsado,4
casa colapsada,4
puente caido,4
explosion,4
explosion fuerte,4
incendio estructural,4
incendio grande,4
llamas extendidas,4
tanque explotando,4
gas acumulado,4
fuga toxica,4
material peligroso,4
quimico derramado,4
electrocutado,4
paro cardiaco,4
no respira,4
sin pulso,4
inconsciente grave,4
ahogamiento,4
sumergido,4
apunalado,4
baleado,4
disparos activos,4
tiroteo,4
rehennes,4
secuestro activo,4
violacion,4
menor en peligro,4
bebe en peligro,4
parto de emergencia,4
accidente masivo,4
bus accidentado,4
avioneta caida,4
desastre natural,4
terremoto,4
aluvion,4
deslave,4
evacuacion urgente,4
riesgo de muerte,4
peligro de muerte,4
